ID,Nome,latitude,longitude
435,Museu do Homem do Nordeste,-8.030196,-34.925281
436,Museu Murilo La Greca,-8.037325,-34.909832
437,Museu da Cidade do Recife,-8.071313,-34.880809
438,Museu Militar,-8.052803,-34.871412
439,Museu de Arte Moderna Aloísio Magalhães (Mamam),-8.061285,-34.881394
440,Museu Franciscano de Arte Sacra,-8.062427,-34.877231
441,Casa-Museu Magdalena e Gilberto Freyre,-8.020598,-34.938482
442,Oficina Brennand,-8.052569,-34.974795
443,Instituto Ricardo Brennand (IRB),-8.065768,-34.964301
444,Museu do Estado de Pernambuco,-8.044753,-34.901995
445,Museu da Abolição,-8.0571555,-34.9090307
446,Instituto Arqueológico Histórico e Geográfico de Pernambuco,-8.0617337,-34.8843858
447,Museu de Arte Popular,-8.0673105,-34.8790074
448,Cais do Sertão,-8.0631633,-34.8711337
449,Casa do Carnaval ,-8.0667877,-34.8790547
450,Observatório Cultural Torre Malakoff,-8.0631633,-34.8711337
451,Sinagoga Kahal Zur Israel,-8.0618594,-34.8713172
452,Paço do Frevo,-8.0613183,-34.8716376
453,Memorial Chico Science,-8.0671216,-34.8788421
454,Memorial Luiz Gonzaga,-8.0672249,-34.8789283
455,Museu do Trem,-8.0680447,-34.8834433
456,Museu de Artes Afro-Brasil Rolando Toro,-8.0628495,-34.873079
457,Teatro do Parque,-8.061976,-34.884742
458,Teatro Barreto Júnior,-8.090579,-34.884095
459,Teatro de Santa Isabel,-8.060693,-34.878138
460,Teatro Apolo,-8.061439,-34.872534
461,Teatro Hermilo Borba Filho,-8.06183,-34.872795
462,Teatro Luiz Mendonça,-8.141965,-34.903683
463,Teatro Boa Vista,-8.0605756,-34.8935803
464,Teatro Arraial,-8.0599357,-34.8803492
465,Teatro Valdemar Oliveira,-8.055285,-34.8914722
466,Teatro Alfredo de Oliveira,-8.0556155,-34.8918026
467,Teatro Marco Camarotti,-8.0496014,-34.8818494
468,Teatro Joaquim Cardozo,-8.0600654,-34.901732
469,Teatro Rio Mar,-8.0861186,-34.89483
470,Mercado de São José,-8.06806,-34.87775
471,Mercado da Boa Vista,-8.063192,-34.888654
472,Mercado da Madalena,-8.052439,-34.908554
473,Mercado da Encruzilhada,-8.036873,-34.892434
474,Mercado de Casa Amarela,-8.026599,-34.917882
475,Mercado do Cordeiro ,-8.051698,-34.921372
